Feature,Importance
discharge_disposition_id,0.15373226988052002
number_inpatient,0.10508420492569405
diag_1,0.08517486542223701
num_lab_procedures,0.07669208989653924
num_medications,0.06865782054082552
diag_3,0.0676292933365017
diag_2,0.0660356798374852
time_in_hospital,0.06562782268842454
age,0.05016987067871656
number_diagnoses,0.04434736565614044
num_procedures,0.028849615833013743
admission_type_id,0.022610509071233444
admission_source_id,0.017858772177785413
diabetesMed,0.01670945117319575
number_emergency,0.016601762047099924
